video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
12d21198-1af7-5c3c-a556-a40cf5402f59,d404b7fe-051c-5c75-9f82-27fe6f0fdf43,Other,same_site_diff_session,0.7309,0.6274,0.8141,0.6916,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,1666dd10-d00b-5f35-836c-58e31f691f97,Other,same_site_diff_session,0.7193,0.6441,0.7907,0.6924,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,27cc78b0-9192-54aa-8573-d145d4dae9cd,Other,same_site_diff_session,0.7711,0.606,0.9011,0.708,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,38d7f94f-8d4b-57ea-9ce3-501105124ada,Other,same_site_diff_session,0.6554,0.5353,0.8772,0.6286,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,53ba4a7b-25c0-5c51-a977-4cb2cdafea87,Other,same_site_diff_session,0.7736,0.6551,0.8272,0.7224,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,59b76a7b-4864-572d-8c02-7bf9d6c82bb6,Other,same_site_diff_session,0.6893,0.5458,0.8781,0.6459,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,6056389a-9403-5a02-a978-a51ff362ade4,Other,same_site_diff_session,0.7138,0.5289,0.888,0.6475,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,6c1204e1-7691-5f1d-8aea-4428eb5619f3,Other,same_site_diff_session,0.7569,0.6403,0.8711,0.7158,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,8180724b-ba70-50b7-bd5d-42909a66a19a,Other,same_site_diff_session,0.7121,0.5977,0.8236,0.6716,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,9b87161f-9e72-5674-894f-2960c03fe2be,Other,same_site_diff_session,0.6612,0.5775,0.8081,0.6414,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,aaa3da05-e144-5d8a-b164-dc82323a7dd2,Other,same_session_distant,0.8976,0.6863,0.9485,0.7996,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,c285995e-4cd8-5166-badc-21bee24c3387,Other,same_site_diff_session,0.6791,0.5277,0.8782,0.6333,100.0,SAME_ENV
